iter	Passed	Remaining
711	5370	2172
712	5376	2164
713	5384	2156
714	5392	2149
715	5399	2141
716	5411	2135
717	5418	2127
718	5426	2120
719	5434	2113
720	5442	2105
721	5449	2098
722	5455	2090
723	5462	2082
724	5469	2074
725	5477	2067
726	5483	2059
727	5490	2051
728	5499	2044
729	5506	2036
730	5513	2029
731	5521	2021
732	5530	2014
733	5537	2006
734	5544	1998
735	5551	1991
736	5560	1984
737	5568	1976
738	5575	1969
739	5582	1961
740	5589	1953
741	5597	1946
742	5605	1938
743	5613	1931
744	5621	1923
745	5628	1916
746	5636	1908
747	5644	1901
748	5652	1894
749	5660	1886
750	5667	1879
751	5675	1871
752	5684	1864
753	5691	1856
754	5699	1849
755	5707	1842
756	5715	1834
757	5724	1827
758	5731	1819
759	5738	1812
760	5745	1804
761	5753	1797
762	5763	1790
763	5770	1782
764	5778	1774
765	5785	1767
766	5792	1759
767	5799	1751
768	5806	1744
769	5813	1736
770	5820	1728
771	5826	1720
772	5834	1713
773	5842	1706
774	5851	1698
775	5858	1691
776	5866	1683
777	5874	1676
778	5882	1668
779	5891	1661
780	5898	1654
781	5906	1646
782	5913	1638
783	5921	1631
784	5928	1623
785	5934	1615
786	5942	1608
787	5949	1600
788	5956	1592
789	5964	1585
790	5972	1578
791	5980	1570
792	5988	1563
793	5996	1555
794	6005	1548
795	6013	1541
796	6021	1533
797	6030	1526
798	6038	1519
799	6048	1512
800	6055	1504
801	6062	1496
802	6069	1489
803	6077	1481
804	6084	1473
805	6092	1466
806	6099	1458
807	6108	1451
808	6116	1444
809	6123	1436
810	6130	1428
811	6137	1421
812	6145	1413
813	6153	1406
814	6161	1398
815	6168	1390
816	6175	1383
817	6183	1375
818	6189	1367
819	6196	1360
820	6205	1352
821	6212	1345
822	6220	1337
823	6227	1330
824	6235	1322
825	6243	1315
826	6252	1307
827	6261	1300
828	6269	1293
829	6278	1285
830	6285	1278
831	6293	1270
832	6300	1263
833	6308	1255
834	6316	1248
835	6324	1240
836	6331	1233
837	6339	1225
838	6347	1218
839	6354	1210
840	6363	1203
841	6370	1195
842	6379	1188
843	6386	1180
844	6394	1172
845	6401	1165
846	6408	1157
847	6416	1150
848	6424	1142
849	6432	1135
850	6440	1127
851	6448	1120
852	6457	1112
853	6464	1105
854	6473	1097
855	6480	1090
856	6487	1082
857	6494	1074
858	6501	1067
859	6508	1059
860	6516	1052
861	6523	1044
862	6533	1037
863	6540	1029
864	6548	1022
865	6557	1014
866	6565	1007
867	6573	999
868	6580	992
869	6587	984
870	6596	976
871	6604	969
872	6611	961
873	6619	954
874	6627	946
875	6635	939
876	6643	931
877	6651	924
878	6659	916
879	6667	909
880	6674	901
881	6683	894
882	6689	886
883	6695	878
884	6703	871
885	6709	863
886	6716	855
887	6724	848
888	6731	840
889	6739	832
890	6747	825
891	6755	817
892	6763	810
893	6771	802
894	6779	795
895	6786	787
896	6794	780
897	6801	772
898	6807	764
899	6814	757
900	6821	749
901	6829	742
902	6837	734
903	6845	726
904	6853	719
905	6861	711
906	6869	704
907	6876	696
908	6885	689
909	6893	681
910	6900	674
911	6908	666
912	6916	659
913	6925	651
914	6934	644
915	6941	636
916	6949	628
917	6957	621
918	6965	613
919	6973	606
920	6981	598
921	6988	591
922	6995	583
923	7003	576
924	7010	568
925	7016	560
